id,nombre,tipoDocumento,documento,edad,correo,telefono,direccion,ciudad,pais,estado
18,Natalia Ríos,CC,181818181,36,natalia.rios@outlook.com,3251818180,Calle 34 #67-20,Medellín,Colombia,Activo
19,Juan Bermúdez,CC,191919191,22,juan.bermudez@hotmail.com,32619191920,Av. Américas #30-15,Bogotá,Colombia,Activo
20,Paula Mendez,CC,202020202,55,paula.mendez@gmail.com,32720202030,Cra 27 #18-60,Cali,Colombia,Activo
21,Esteban Castillo,CC,212121212,40,esteban.castillo@yahoo.com,Sin Teléfono,Calle 90 #45-30,Manizales,Colombia,Inactivo
22,Daniela Ortega,CC,222222222,18,daniela.ortega@gmail.com,32922222230,Carrera 5 #70-50,Cali,Colombia,Activo
23,Sebastián Cruz,TI,232323232,16,sebastian.cruz@hotmail.com,33023232340,Calle 25 #80-70,Bogotá,Colombia,Activo
24,Catalina Peña,CC,241414141,33,sin_correo@desconocido.com,33114141420,Av. Las Palmas #20-40,Medellín,Colombia,Activo
25,Alejandro Gómez,CC,242424242,47,alejandro.gomez@outlook.com,33224242430,Calle 11 #33-60,Barranquilla,Colombia,Activo
26,Valeria Reyes,CC,252525252,25,valeria.reyes@gmail.com,33325252530,Carrera 19 #88-10,Bogotá,Colombia,Activo
27,Ricardo Medina,CC,262626262,36,ricardo.medinay@gmail.com,3342626260,Calle 63 #14-20,Medellín,Colombia,Inactivo
28,Gabriela Suárez,CC,272727272,30,gabriela.suarez@hotmail.com,33527272730,Av. El Poblado #5-80,Cali,Colombia,Activo
29,Nicolás Torres,CC,282828282,52,nicolas.torres@gmail.com,Sin Teléfono,Cra 100 #40-20,Bogotá,Colombia,Activo
30,Alejandra Ruiz,CC,292929292,21,alejandra.ruiz@outlook.com,33729292930,Calle 44 #22-10,Cartagena,Colombia,Activo
31,Julián Pardo,CC,303030303,38,julian.pardo@yahoo.com,33830303040,Carrera 65 #30-50,Bogotá,Colombia,Activo
32,Manuela León,CC,313131313,29,manuela.leon@gmail.com,33931313130,Calle 7 #9-20,Cali,Colombia,Activo
33,David Herrera,PASAPORTE,CD789012,44,david.herrera@hotmail.com,34032323240,Av. Constitución #10-15,Medellín,Colombia,Inactivo
34,Sara Montoya,CC,333333333,36,sara.montoya@gmail.com,3413333340,Calle 50 #5-30,Bogotá,Colombia,Activo
35,Óscar Vega,CC,343434343,60,oscar.vega@outlook.com,34234343440,Cra 78 #60-40,Bucaramanga,Colombia,Activo
36,Paola Aguilar,CC,353535353,27,paola.aguilar@gmail.com,34335353540,Calle 22 #14-90,Bogotá,Colombia,Activo
38,Andrea Fuentes,CC,373737373,34,andrea.fuentes@hotmail.com,Sin Teléfono,Av. 30 De Agosto #50-10,Pereira,Colombia,Activo
39,Mario Salazar,CC,383838383,43,mario.salazar@yahoo.com,34538383840,Calle 36 #27-60,Medellín,Colombia,Inactivo
40,Ximena Patiño,CC,393939393,19,ximena.patino@gmail.com,34639393940,Carrera 50 #15-30,Cali,Colombia,Activo
41,Roberto Rojas,CC,404040404,56,roberto.rojas@outlook.com,3474040410,Calle 48 #70-20,Bogotá,Colombia,Activo
42,Stephanie Leal,CC,414141414,36,stephanie.leal@hotmail.com,34841414150,Av. Ciudad De Cali #30-50,Bogotá,Colombia,Activo
43,Mateo Espinosa,TI,424242424,15,mateo.espinosa@gmail.com,34942424240,Calle 90 #12-40,Cartagena,Colombia,Activo
44,Juliana Cardona,CC,434343434,37,juliana.cardona@yahoo.com,Sin Teléfono,Cra 15 #80-60,Medellín,Colombia,Activo
45,Hernán Cortés,CC,444444444,48,hernan.cortes@gmail.com,35144444450,Calle 19 #5-20,Bogotá,Colombia,Activo
46,Ángela Mora,CC,454545454,32,angela.mora@outlook.com,35245454550,Av. Esperanza #70-30,Bucaramanga,Colombia,Inactivo
47,Sergio Quintero,CC,464646464,26,sergio.quintero@hotmail.com,35346464650,Calle 55 #28-10,Bogotá,Colombia,Activo
48,Camilo Arias,CC,474747474,36,camilo.arias@gmail.com,3544747480,Cali,Colombia,Activo,Desconocido
49,Diana Varón,CC,484848484,41,diana.varon@yahoo.com,35548484850,Calle 68 #35-20,Medellín,Colombia,Activo
50,Andrés Delgado,CC,494949494,23,andres.delgado@gmail.com,35649494950,Carrera 80 #25-60,Bogotá,Colombia,Activo
51,Nataly Cano,CC,505050505,35,nataly.cano@hotmail.com,Sin Teléfono,Calle 30 #40-80,Cali,Colombia,Activo
52,Germán Pedraza,CC,515151515,50,german.pedraza@outlook.com,35851515160,Av. Suba #120-40,Bogotá,Colombia,Inactivo
53,Lorena Bernal,CC,525252525,28,lorena.bernal@gmail.com,35952525260,Cra 20 #60-10,Medellín,Colombia,Activo
54,Daniel Castaño,CC,535353535,36,daniel.castano@yahoo.com,36053535350,Calle 85 #15-50,Barranquilla,Colombia,Activo
55,Alejandra Ramos,CC,545454545,39,alejandra.ramos@gmail.com,3615454550,Carrera 35 #90-20,Bogotá,Colombia,Activo
56,Fabio Nieto,CC,555555555,46,fabio.nieto@hotmail.com,Sin Teléfono,Calle 76 #5-70,Bogotá,Colombia,Activo
57,Claudia Pinzón,CC,565656565,22,claudia.pinzon@outlook.com,36356565660,Av. Boyacá #30-60,Cali,Colombia,Activo
58,Jhon Soto,CC,575757575,31,jhon.soto@gmail.com,36457575760,Calle 42 #18-30,Medellín,Colombia,Activo
59,Vanessa Largo,CC,585858585,36,vanessa.largo@yahoo.com,3655858590,Cra 45 #70-10,Bogotá,Colombia,Inactivo
60,Mauricio Téllez,CC,595959595,54,mauricio.tellez@hotmail.com,36659595960,Calle 60 #22-40,Bucaramanga,Colombia,Activo
61,Paola Arango,CC,606060606,27,paola.arango@gmail.com,Sin Teléfono,Av. El Dorado #90-50,Medellín,Colombia,Activo
62,Cristian Mejía,CC,616161616,36,cristian.mejia@gmail.com,36861616160,Calle 100 #10-20,Cali,Colombia,Activo
63,Diana Cárdenas,CC,626262626,43,diana.cardenas@outlook.com,36962626270,Carrera 9 #55-30,Bogotá,Colombia,Activo
64,Wilson Parra,CC,636363636,36,wilson.parra@hotmail.com,37063636360,Calle 23 #80-60,Bogotá,Colombia,Inactivo
65,Angélica Bejarano,CC,646464646,20,angelica.bejarano@gmail.com,37164646460,Av. Las Palmas #15-40,Medellín,Colombia,Activo
66,Raúl Guzmán,CC,656565656,58,raul.guzman@yahoo.com,Sin Teléfono,Cra 12 #45-70,Barranquilla,Colombia,Activo
67,Silvia Tobón,CE,666666666,33,silvia.tobon@hotmail.com,37366666670,Calle 37 #60-20,Bogotá,Colombia,Activo
68,Eduardo Londoño,CC,676767676,47,eduardo.londono@gmail.com,37467676770,Av. Américas #50-30,Cali,Colombia,Activo
69,Marcela Ospina,CC,686868686,36,marcela.ospina@outlook.com,3756868690,Calle 55 #35-80,Medellín,Colombia,Activo
70,Gustavo Ayala,CC,696969696,62,gustavo.ayala@hotmail.com,37669696970,Carrera 25 #88-10,Bogotá,Colombia,Inactivo
71,Jennifer Acosta,CC,707070707,24,jennifer.acosta@gmail.com,37770707080,Calle 80 #20-40,Bogotá,Colombia,Activo
72,Harold Zapata,CC,717171717,39,harold.zapata@gmail.com,Sin Teléfono,Av. Constitución #5-60,Bogotá,Colombia,Activo
73,Eliana Palomino,CC,727272727,46,eliana.palomino@yahoo.com,37972727280,Cra 7 #70-50,Manizales,Colombia,Activo
74,Alexander Murillo,CC,737373737,29,alexander.murillo@outlook.com,38073737370,Calle 62 #40-10,Cali,Colombia,Activo
75,Lina Salcedo,CC,747474747,36,lina.salcedo@hotmail.com,3817474750,Carrera 55 #25-70,Medellín,Colombia,Activo
76,Bernardo Aguirre,CC,757575757,53,bernardo.aguirre@gmail.com,38275757580,Calle 48 #12-60,Bogotá,Colombia,Activo
77,Yolanda Rincón,CC,767676767,41,yolanda.rincon@yahoo.com,Sin Teléfono,Av. Boyacá #80-30,Medellín,Colombia,Inactivo
78,Fernando Acuña,PASAPORTE,EF345678,35,fernando.acuna@hotmail.com,38467676770,Cra 18 #50-40,Bogotá,Colombia,Activo
79,Luz Dary Mora,CC,787878787,36,luz.mora@gmail.com,38578787890,Calle 93 #30-20,Bogotá,Colombia,Activo
80,Álvaro Pineda,CC,797979797,44,alvaro.pineda@outlook.com,38680808080,Av. El Dorado #15-80,Cali,Colombia,Activo
81,Cecilia Vergara,CC,808080808,37,cecilia.vergara@hotmail.com,38780808080,Carrera 70 #60-50,Bogotá,Colombia,Activo
82,Marco Sandoval,CC,818181818,52,marco.sandoval@gmail.com,Sin Teléfono,Calle 15 #70-40,Bogotá,Colombia,Activo
83,Rosa Cifuentes,CC,828282828,28,rosa.cifuentes@yahoo.com,38982828280,Cra 33 #45-30,Medellín,Colombia,Activo
84,Hernando Melo,CC,838383838,36,hernando.melo@outlook.com,39083838390,Calle 28 #10-50,Bucaramanga,Colombia,Activo
85,Patricia Useche,CC,848484848,63,patricia.useche@gmail.com,3918484850,Av. Suba #60-20,Bogotá,Colombia,Inactivo
86,Rubén Fuentes,CC,858585858,31,ruben.fuentes@hotmail.com,Sin Teléfono,Carrera 40 #30-80,Bogotá,Colombia,Activo
87,Adriana Bohórquez,CC,868686868,45,adriana.bohorquez@gmail.com,39286868690,Calle 70 #55-30,Cali,Colombia,Activo
88,Jerónimo Vásquez,CC,878787878,20,jeronimo.vasquez@yahoo.com,39387878790,Cra 22 #15-60,Medellín,Colombia,Activo
89,Constanza Obando,CC,888888888,36,constanza.obando@outlook.com,3948888890,Calle 39 #80-40,Bogotá,Colombia,Inactivo
90,Elvis Suárez,CC,898989898,57,elvis.suarez@gmail.com,39589898990,Av. Américas #45-20,Barranquilla,Colombia,Activo
91,Gloria Ardila,CC,909090909,34,gloria.ardila@hotmail.com,39690909090,Carrera 60 #70-10,Bogotá,Colombia,Activo
92,Héctor Muñoz,CC,919191919,48,hector.munoz@gmail.com,Sin Teléfono,Calle 54 #20-30,Medellín,Colombia,Activo
93,Isabel Contreras,CC,929292929,23,isabel.contreras@outlook.com,39892929290,Cra 50 #85-60,Bogotá,Colombia,Activo
94,Mario Duarte,CC,939393939,36,mario.duarte@yahoo.com,39993939390,Calle 66 #40-50,Cali,Colombia,Activo
95,Adrián Peñaloza,CC,949494949,42,adrian.penaloza@hotmail.com,40094949490,Av. El Poblado #70-30,Bogotá,Colombia,Activo
96,Tatiana Orozco,CC,959595959,26,tatiana.orozco@gmail.com,Sin Teléfono,Carrera 85 #30-20,Barranquilla,Colombia,Activo
97,William Gutiérrez,CC,969696969,39,william.gutierrez@gmail.com,40296969700,Calle 33 #50-40,Medellín,Colombia,Inactivo
98,Viviana Salamanca,CC,979797979,36,viviana.salamanca@outlook.com,40397979790,Cra 15 #20-60,Bogotá,Colombia,Activo
99,Ernesto Bravo,CC,989898989,67,ernesto.bravo@hotmail.com,4049898990,Calle 19 #15-80,Cali,Colombia,Activo
100,Nora Espitia,CC,999999999,43,nora.espitia@yahoo.com,Sin Teléfono,Av. Boyacá #90-10,Bogotá,Colombia,Activo
